id_hog,id_persona,es_trabajador,es_familia,dia_semana,dia_fin_semana,parentesco,n_menores_0_4,n_menores_5_14,n_nna,n_menores_18,n_personas_15_65,n_mayores,n_tiempo,n_trabajadores,n_profesionales,n_tercera_edad,hay_tercera_edad,n_personas,edad_promedio,tiene_hijos,en_pareja,vive_pareja,servicio_domestico,ayuda_cercanos,fuentes_externas,sexo,edad_anios,tramo_edad,NSE,nivel_escolaridad,estudia,trabaja,horas_trabajo_contratadas,horas_trabajo_habituales,dias_trabajo_semana,quintil,macrozona,region_ord,glosa_region,prop_ing_hogar,teletrabaja,jornada_laboral,cae,ocup_form,cise,ciuo_agrupada,bs1,bs2,bs3,bs4,bs5,bs6,bs7,bs8,bs9,bs10,bs11,bs12,bs13,bs14,bs15,bs16,bs17,bs18,bs19,ing_ocuppal,ing_trab,ing_jub_aps,ing_g,ing_t_hogar,ing_t_pc,ing_gpp,ing_personal,ingreso_hogar,income_person_week,I,t_to,t_tcnr_ce,t_tcnr_re,t_tcnr_oac,t_tdnr_psc,t_tdnr_lv,t_tdnr_lrc,t_tdnr_mrm,t_tdnr_admnhog,t_tdnr_comphog,t_tdnr_cmp,t_tvaoh_tv,t_tvaoh_oh,t_cpaf_cp,t_cpag_comer,t_cpag_dormir,t_ed,t_vsyo_csar,t_vsyo_aa,t_mcm_leer,t_mcm_video,t_mcm_audio,t_mcm_computador,t_tt1,t_tt2,t_tcnr_0_4,t_tcnr_5_14,t_tcnr_nna,t_tcnr_15_65,t_tcnr_66,t_tcnr_psdf,t_total,w,savings,alimentos,vestimenta,cuentas,hogar,salud,transporte,comunicaciones,recreacion,educacion,restaurantes,total_expenses
11067-1,11067-1-05,0,0,3,7,3,0,2,2,2,4,4,2,3,2,1,0,6,34.666666666666664,0,0,0,0,0,0,0,14,12-24,2,primaria,1,0,0,0,0,3,centro,8,Libertador General Bernardo O´Higgins,0,0,NA,Menor de 15 años,NA,NA,NA,5,4,5,NA,2,3,3,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,350,58.333333333333336,0,0,1.14,0,0,2.96,1.08,0.76,0,0,0.04,0.89,0,0,23.81,4.4,76.17000000000002,0,0,18.56,0,15.38,3.61,18.99,0,0.21,0,1.14,1.14,0,0,0,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
11069-1,11069-1-02,1,1,2,6,2,1,0,1,1,2,2,2,2,2,0,0,3,21.333333333333332,1,1,1,0,0,0,1,30,25-44,1,técnica,0,1,45,9,5,3,centro,11,Biobío,0.5357142857142857,0,3,Ocupada(o),1,3,2,5,4,4,2,NA,1,1,1,1,2,2,NA,NA,NA,NA,NA,3,3,2,187.5,187.5,0,0,0,0,0,187.5,350,116.66666666666667,0,45,20.61,0,0.06,5.66,1.47,0.82,0,0.21,0.44,0.78,0,0.01,3.03,6.03,42.23,0,20.72,0,0.06,5.56,0.17,6.46,7.06,1.62,21.63,0.06,21.63,0,0,0,168,4.166666666666667,-14.04186458884213,29.8,6,45.47,16.11,10.38,31.59,22.79,16.01,6.64,16.74,201.54186458884212
11070-1,11070-1-01,0,0,2,6,1,0,1,1,1,3,3,3,2,2,0,0,4,30.5,1,0,0,0,0,0,1,56,45-65,2,secundaria,0,0,0,0,0,3,centro,9,Maule,0,0,NA,Inactiva(o),NA,NA,NA,2,2,2,NA,NA,2,2,1,1,3,3,NA,NA,NA,NA,NA,3,NA,4,0,0,0,36.25,323.75,80.9375,0,0,323.75,71.875,145000,0,12.42,0.43,0.42,36.24,8.59,9.57,0,0,0.32,1.88,0,0,8.23,10.01,61.42000000000001,0,5.93,0.12,0.04,2.57,0.16,9.44,0,0.21,0,13.27,13.27,0,0,2.2,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
11070-1,11070-1-03,1,0,2,6,3,0,1,1,1,3,3,3,2,2,0,0,4,30.5,0,0,0,0,0,0,1,29,25-44,2,técnica,0,1,45,9,5,3,centro,9,Maule,0.3913043478260869,0,3,Ocupada(o),1,3,3,2,5,3,2,NA,1,1,1,3,1,1,NA,NA,NA,NA,NA,4,3,1,112.5,112.5,0,0,0,0,14.184782608695652,126.68,323.75,75.42119565217392,0,45,0.73,0,0,1.5,1.77,0.46,0.38,3.04,2.34,1.3,0,0,3.68,8.84,47.32,0,25.56,0,0.11,1.02,0.19,9.77,7.59,7.4,0,0.73,0.73,0,0,0,168,2.5,-22.713984678406625,30.4,3.88,26.42,10.3,8.35,22.17,18.12,10.26,8.18,11.31,149.39398467840664
11071-1,11071-1-02,0,0,2,6,2,1,1,2,2,2,2,1,1,1,0,0,4,19,1,1,1,0,0,0,1,32,25-44,2,técnica,0,0,0,0,0,2,sur,14,Los Lagos,0,0,NA,Inactiva(o),NA,NA,NA,5,5,3,NA,NA,1,2,2,2,2,2,NA,NA,NA,NA,NA,1,NA,1,0,0,0,0,0,0,0,0,250,62.5,0,0,10.35,0.01,0.02,16.05,4.68,4.75,0.05,0,1.32,2.32,0,0.01,19.53,10.84,54.39999999999999,0.02,15.09,0.37,6.49,7.9,3.21,8.39,0,2.2,11.26,6.07,11.7,0,0,0.37,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
11072-1,11072-1-01,0,0,1,7,1,0,0,0,0,1,2,2,1,0,2,0,2,71,0,0,0,0,0,0,0,64,45-65,2,ninguna,0,0,0,0,0,3,norte,1,Arica y Parinacota,0,0,NA,Inactiva(o),NA,NA,NA,2,4,NA,NA,NA,3,85,3,2,2,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,164.5,166,83,0,0,303,69.25,658000,0,0,0,0,2.48,1.09,0.52,0,2.39,1.31,0.62,0,0,8.24,11.27,59.360000000000014,0,27.33,0.13,0,43.53,2.53,0,0,7.2,0,0,0,0,0,0,168,NA,0,0,0,0,0,0,0,0,0,0,0,0
11072-1,11072-1-02,1,0,1,7,12,0,0,0,0,1,2,2,1,0,2,0,2,71,0,0,0,0,0,0,0,78,66+,2,secundaria,0,1,42,6,7,3,norte,1,Arica y Parinacota,1,0,2,Ocupada(o),2,4,3,4,4,NA,3,NA,3,85,2,3,2,85,NA,NA,NA,NA,NA,NA,NA,NA,70,70,68.5,0,0,0,164.5,303,303,151.5,274000,42,0,0,0,0.47,0.48,1.43,0,0,0,1.18,0,0,14.14,9.22,48.06000000000001,0,8.28,0,0.88,18.78,19.42,0,3.66,0,0,0,0,0,0,0,168,1.6666666666666667,74.52827566692203,83.58,4.72,39.42,14.56,22.91,21.67,19.62,11.18,0.73,10.09,228.471724333078
11074-1,11074-1-01,0,0,2,6,1,0,0,0,0,0,1,1,0,0,1,0,1,77,0,0,0,0,0,0,1,77,66+,1,ninguna,0,0,0,0,0,1,norte,5,Coquimbo,1,0,NA,Inactiva(o),NA,NA,NA,4,NA,NA,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,30,60,30,30,60,90,90,90,360000,0,0,0,0,2.13,5.33,2.72,0,6.53,0,11.96,0,0,7.2,10.15,85.72,0,0.64,0,3.09,26.99,0.64,0,0,4.9,0,0,0,0,0,0,168.00000000000003,NA,38.946444677777016,20.5,0.99,11.72,3.04,4.53,3.06,4.15,1.52,0.07,1.48,51.053555322222984
11075-1,11075-1-02,1,1,5,6,2,0,1,1,1,3,3,3,3,3,0,0,4,33.75,1,1,1,0,0,0,0,50,45-65,3,universitaria,0,1,43,8,5,5,centro,6,Valparaíso,0.5714285714285714,1,2,Ocupada(o),1,1,1,4,4,4,1,NA,2,2,2,2,3,2,NA,NA,NA,NA,NA,3,3,1,625,625,0,0,0,0,0,625,1093.75,273.4375,0,43,2.11,0,0,11.11,1.68,0.81,1.6,2.17,0.62,1.01,0,0,2.85,11.44,44.99000000000001,0,9.79,3.16,7.59,16.12,0.38,5.02,0,2.55,0,4.21,4.21,0,0,0,168,14.534883720930232,128.94935177230542,65.59,11.99,62.94,41.91,34.68,89.21,47.08,50.87,38.58,53.21,496.0506482276946
11080-1,11080-1-02,0,0,1,6,2,0,0,0,0,3,3,3,1,1,2,0,3,50.333333333333336,0,1,1,0,0,0,1,65,45-65,1,primaria,0,0,0,0,0,2,norte,2,Tarapacá,0,0,NA,Inactiva(o),NA,NA,NA,4,2,4,NA,NA,2,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,188.75,27.083333333333332,0,0,1.14,0,0.06,12.98,17.28,1.18,0,0.12,1.31,0.84,0,0.09,17.5,11.66,71.37,0,4.21,8.37,0.02,2.36,16.73,0.29,0,0.49,0,0,0,0,1.2,1.2,168.00000000000003,NA,-0,0,0,0,0,0,0,0,0,0,0,0
