id_hog,id_persona,es_trabajador,es_familia,dia_semana,dia_fin_semana,parentesco,n_menores_0_4,n_menores_5_14,n_nna,n_menores_18,n_personas_15_65,n_mayores,n_tiempo,n_trabajadores,n_profesionales,n_tercera_edad,hay_tercera_edad,n_personas,edad_promedio,tiene_hijos,en_pareja,vive_pareja,servicio_domestico,ayuda_cercanos,fuentes_externas,sexo,edad_anios,tramo_edad,NSE,nivel_escolaridad,estudia,trabaja,horas_trabajo_contratadas,horas_trabajo_habituales,dias_trabajo_semana,quintil,macrozona,region_ord,glosa_region,prop_ing_hogar,teletrabaja,jornada_laboral,cae,ocup_form,cise,ciuo_agrupada,bs1,bs2,bs3,bs4,bs5,bs6,bs7,bs8,bs9,bs10,bs11,bs12,bs13,bs14,bs15,bs16,bs17,bs18,bs19,ing_ocuppal,ing_trab,ing_jub_aps,ing_g,ing_t_hogar,ing_t_pc,ing_gpp,ing_personal,ingreso_hogar,income_person_week,I,t_to,t_tcnr_ce,t_tcnr_re,t_tcnr_oac,t_tdnr_psc,t_tdnr_lv,t_tdnr_lrc,t_tdnr_mrm,t_tdnr_admnhog,t_tdnr_comphog,t_tdnr_cmp,t_tvaoh_tv,t_tvaoh_oh,t_cpaf_cp,t_cpag_comer,t_cpag_dormir,t_ed,t_vsyo_csar,t_vsyo_aa,t_mcm_leer,t_mcm_video,t_mcm_audio,t_mcm_computador,t_tt1,t_tt2,t_tcnr_0_4,t_tcnr_5_14,t_tcnr_nna,t_tcnr_15_65,t_tcnr_66,t_tcnr_psdf,t_total,w,savings,alimentos,vestimenta,cuentas,hogar,salud,transporte,comunicaciones,recreacion,educacion,restaurantes,total_expenses
00001-1,00001-1-01,1,1,3,6,1,0,1,1,1,3,3,3,2,1,2,0,4,40,1,1,1,0,0,0,0,63,45-65,2,primaria,0,1,48,12,4,3,norte,4,Atacama,0.5,0,4,Ocupada(o),1,3,6,4,4,4,2,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,200,200,0,0,400,100,0,200,400,100,0,48,0.8,0,0,1.28,4,0.28,0.07,0.03,2.39,2.04,0,0,2.85,10.35,59.47999999999999,0,2.61,0.16,0.01,8.29,3.21,0.08,18.56,3.51,0,0.8,0.8,0,0,0,168,4.166666666666667,20.08624695500997,58.88,4.43,28.35,9.15,10.12,24.12,17.97,10.67,4.31,11.91,179.91375304499002
00001-1,00001-1-03,1,0,3,6,3,0,1,1,1,3,3,3,2,1,2,1,4,40,0,0,0,0,0,0,1,28,25-44,2,técnica,0,1,45,9,5,3,norte,4,Atacama,0.5,0,3,Ocupada(o),1,3,1,4,4,4,1,NA,2,1,1,1,2,2,NA,NA,NA,NA,NA,3,3,1,200,200,0,0,0,0,0,200,400,100,0,45,7.39,0,0,2.83,4.96,2.41,0,1.08,0.62,1.14,0.42,0,7.32,10.45,50.76000000000001,0,2.72,0.01,0,10.15,0.01,10.9,9.76,0.07,0,7.39,7.39,0,0,0,168,4.444444444444445,20.08624695500997,58.88,4.43,28.35,9.15,10.12,24.12,17.97,10.67,4.31,11.91,179.91375304499002
00002-1,00002-1-01,1,0,4,7,1,0,0,0,0,1,1,1,1,0,0,0,1,51,0,0,0,0,0,0,1,51,45-65,1,secundaria,0,1,45,9,5,1,norte,5,Coquimbo,0,0,3,Ocupada(o),1,3,3,3,NA,NA,2,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,5.05,4.97,0.81,0,0,4.4,3.6,0,0,3.18,8.74,49.06999999999999,0,6.78,0,0,8.64,0.09,5.11,11.5,11.06,0,0,0,0,0,0,168,0,-0,0,0,0,0,0,0,0,0,0,0,0
00004-1,00004-1-02,0,0,1,6,2,0,1,1,1,3,3,3,0,3,0,0,4,31,1,1,1,0,0,0,1,43,25-44,3,técnica,0,0,0,0,0,4,norte,3,Antofagasta,0,0,NA,Inactiva(o),NA,NA,NA,5,3,3,NA,NA,2,3,2,1,3,2,NA,NA,NA,NA,NA,1,NA,1,0,0,0,0,0,0,0,0,500,125,0,0,0.98,7.6,0,8.44,10.62,9.63,0,0,0.09,12.5,0,0,7.46,11.16,57.35999999999999,0,7.36,0.09,4.69,12.67,0.09,17.17,0,0.09,0,8.57,8.57,0,0,0,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
00004-1,00004-1-04,0,0,1,6,3,0,1,1,1,3,3,3,0,3,0,0,4,31,0,0,0,0,0,0,0,14,12-24,3,primaria,1,0,0,0,0,4,norte,3,Antofagasta,0,0,NA,Menor de 15 años,NA,NA,NA,4,5,85,NA,1,3,85,2,1,1,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,500,125,0,0,0,0,0,2.24,1.07,0.18,0,0,0,2.67,0,0,3.33,6.7,52.19999999999998,0,32.24,35.2,0.54,29.95,0.05,1.63,0,0,0,0,0,0,0,0,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
00006-1,00006-1-01,0,0,3,7,1,0,0,0,0,1,3,3,0,1,2,0,3,58.666666666666664,0,1,1,0,0,0,0,74,66+,2,secundaria,0,0,0,0,0,4,norte,5,Coquimbo,0.7236842105263158,0,NA,Inactiva(o),NA,NA,NA,4,4,85,NA,NA,2,85,2,2,2,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,137.5,380,190,63.333333333333336,275,412.5,570,155,2070000,0,0,0,0,1.87,1.81,0,0,0,0.51,0.13,0,0,16,16.89,96.66999999999999,0,12.1,0,12.95,2.89,5.5,0,0,0.68,0,0,0,0,0.17,0,168,NA,94.3944333582458,90.41,6.3,55.66,24.51,35.54,33.18,29.16,18.08,4.65,20.62,318.1055666417542
00006-1,00006-1-02,0,0,3,7,2,0,0,0,0,1,3,3,0,1,2,0,3,58.666666666666664,0,1,1,0,0,0,1,74,66+,2,secundaria,0,0,0,0,0,4,norte,5,Coquimbo,0.27631578947368424,0,NA,Inactiva(o),NA,NA,NA,4,4,85,NA,NA,2,85,2,2,2,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,52.5,0,0,0,105.00000000000001,157.5,570,98.33333333333333,210000,0,0,0,0,21.82,8.52,1.09,0,0.18,0,2.02,0,0,11.46,10.08,66.52000000000001,0,31.76,0,6.61,1.91,6.03,0,0,0,0,0,0,0,0,0,168,NA,36.041510918602945,34.52,2.41,21.25,9.36,13.57,12.67,11.13,6.9,1.77,7.87,121.45848908139706
00006-1,00006-1-03,0,0,3,7,4,0,0,0,0,1,3,3,0,1,2,1,3,58.666666666666664,0,0,0,0,0,0,0,28,25-44,2,universitaria,0,0,0,0,0,4,norte,5,Coquimbo,0,0,NA,Desocupada(o),NA,NA,NA,4,3,85,NA,NA,3,3,2,2,1,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,570,63.333333333333336,0,0,0,0,0,3.93,2.22,1.9,2.69,0,0.93,1.11,0,0,6.57,11.87,57.23,0,30.78,15.26,4.92,19.94,0.01,7.7,0,0.94,0,0,0,0,0,0,168,NA,0,0,0,0,0,0,0,0,0,0,0,0
00007-1,00007-1-01,1,1,2,7,1,0,1,1,1,3,3,3,3,1,0,0,4,33.25,1,1,1,0,0,0,0,50,45-65,1,primaria,0,1,60,10,6,3,norte,4,Atacama,0.3968253968253968,0,4,Ocupada(o),2,2,5,4,4,4,2,NA,2,2,2,2,1,2,NA,NA,NA,NA,NA,1,1,1,125,125,0,0,315,78.75,0,125,315,78.75,0,60,0,0,0,0.6,0.31,0,0,0,0.02,0.08,0,0,4.36,7.85,58.57999999999999,0,10,0.08,0.31,9.58,0,10.88,5.34,0.01,0,0,0,0,0,0,168,2.0833333333333335,-7.7738699646021185,40.06,3.68,21.58,6.19,6.1,19.66,13.4,8.75,3.17,10.19,132.7738699646021
00007-1,00007-1-02,1,0,2,7,3,0,1,1,1,3,3,3,3,1,0,0,4,33.25,0,0,0,0,0,0,0,28,25-44,1,secundaria,0,1,50,10,5,3,norte,4,Atacama,0.47619047619047616,0,4,Ocupada(o),1,3,3,4,4,4,2,NA,2,85,2,1,2,85,NA,NA,NA,NA,NA,NA,NA,NA,150,150,0,0,0,0,0,150,315,78.75,0,50,0,0,0,1.18,1.09,0.14,0,0.03,0.36,0.11,0,0,4.99,5.82,48.05000000000001,0,14.31,2,0.16,12.61,1.11,21.69,4,0.35,0,0,0,0.16,0,0,167.99999999999997,3,-9.328643957522543,48.07,4.42,25.89,7.43,7.32,23.59,16.08,10.5,3.8,12.23,159.32864395752253
00008-1,00008-1-01,1,0,2,7,1,0,0,0,0,2,2,2,1,1,0,0,2,53.5,0,1,1,0,0,0,0,56,45-65,1,técnica,0,1,45,9,5,3,centro,11,Biobío,1,0,3,Ocupada(o),1,2,1,4,4,NA,2,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,300,300,0,0,300,150,0,300,300,150,0,45,0,0,0,1.83,0.8,0,2.01,0.38,1.71,0,0,0,5.85,15.4,50.91,0,14.42,0,0.57,15.69,0.51,7.28,4.69,0.95,0,0,0,0,0,0,168,6.666666666666667,21.039966093171703,71.2,7.65,51.83,19.9,27,36.64,28.63,18.8,3.55,13.78,278.9600339068283
00008-1,00008-1-02,0,0,2,7,2,0,0,0,0,2,2,2,1,1,0,0,2,53.5,0,1,1,0,0,0,1,51,45-65,1,secundaria,0,0,0,0,0,3,centro,11,Biobío,0,0,NA,Inactiva(o),NA,NA,NA,4,4,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,300,150,0,0,0,0,0,18.28,5.41,4.42,0,0.17,1.67,1.64,5,0,9.25,11.99,57.41000000000001,0,20.48,0.21,2.87,10.88,5.06,9.51,0,3.75,0,0,0,0,0,0,168,NA,0,0,0,0,0,0,0,0,0,0,0,0
00009-1,00009-1-01,0,0,1,7,1,0,1,1,1,4,4,3,0,1,0,0,5,35.8,1,0,0,0,0,0,1,33,25-44,1,secundaria,0,0,0,0,0,1,centro,8,Libertador General Bernardo O´Higgins,0,0,NA,Inactiva(o),NA,NA,NA,1,4,4,NA,NA,1,1,2,1,1,3,5,5,3,3,3,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,30.31,0,9.2,12.75,15.54,1.24,2.09,2.09,3.13,0.48,0,0,1.53,6.18,48.03999999999999,0,15.12,3.88,0,3.18,0.34,8.73,0,4.17,0,2.36,2.36,37.15,0,37.15,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
00011-1,00011-1-01,1,0,2,6,1,0,0,0,0,2,2,2,2,1,0,0,2,39.5,1,0,0,0,0,0,0,56,45-65,3,universitaria,0,1,40,8,5,5,metropolitana,7,Región Metropolitana de Santiago,0.7647058823529411,1,2,Ocupada(o),1,3,1,5,5,NA,3,NA,2,85,2,2,1,85,NA,NA,NA,NA,NA,NA,NA,NA,650,650,0,0,850,425,0,650,850,425,0,40,0,0,0,2.62,2.79,0.16,0,0.01,0.53,1.02,0,0,6.34,12.28,61.67999999999999,4.52,16.37,8.6,1.54,1.67,3.88,0.82,0,3.17,0,0,0,0,0,0,168,16.25,94.38279753948196,76.25,14.99,91.84,41.44,51.54,82.29,39.29,68.63,23.84,65.5,555.617202460518
00011-1,00011-1-02,1,0,2,6,3,0,0,0,0,2,2,2,2,1,0,0,2,39.5,0,0,0,0,0,0,0,23,12-24,3,primaria,0,1,50,10,5,5,metropolitana,7,Región Metropolitana de Santiago,0.23529411764705882,0,4,Ocupada(o),1,3,2,3,2,NA,3,NA,1,85,2,2,3,85,NA,NA,NA,NA,NA,NA,NA,NA,150,200,0,0,0,0,0,200,850,425,0,50,0,0,0,5.18,4.41,6.16,0.28,8.13,0.68,0.31,0,0,8.74,8.35,35.23,0,20.65,3.7,0.19,3.44,0.66,10.18,1.52,0.19,0,0,0,0,0,0,168,4,29.040860781379067,23.46,4.61,28.26,12.75,15.86,25.32,12.09,21.12,7.34,20.15,170.95913921862092
00013-1,00013-1-01,0,0,4,6,1,0,0,0,0,1,1,1,0,0,0,0,1,53,0,0,0,0,0,0,0,53,45-65,1,primaria,0,0,0,0,0,1,centro,11,Biobío,0,0,NA,Inactiva(o),NA,NA,NA,3,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47,2.37,0,0,0,0,0.3,0,0,5.9,11.51,79.61999999999999,0,2.4,0,1.2,34.22,1.8,21.21,0,0,0,0,0,0,0,0,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
00014-1,00014-1-01,1,1,4,6,1,0,2,2,2,2,2,2,1,0,0,0,4,19.5,1,1,1,0,0,0,0,37,25-44,2,secundaria,0,1,65,10,6,2,centro,11,Biobío,1,1,4,Ocupada(o),2,2,5,3,3,4,1,NA,85,1,1,1,2,2,NA,NA,NA,NA,NA,4,3,1,250,250,0,0,250,62.5,0,250,250,62.5,0,65,0,0.09,0,0.92,0.21,0.05,1.75,8.95,0.51,0.13,0,0,2.22,6.83,39.68000000000001,0,7.11,0,0.04,13.07,0.09,11.74,7.04,2.57,0,0.09,0.09,0,0,0,168,3.8461538461538463,-40.30601186394151,81.97,14.15,56.1,14.99,16.85,39.01,27.8,17.13,11.41,10.89,290.30601186394154
00015-1,00015-1-02,0,0,4,6,2,0,0,0,0,2,2,1,1,2,0,0,2,46.5,0,1,1,0,0,0,0,47,45-65,2,técnica,0,0,0,0,0,2,sur,16,Magallanes y la Antártica Chilena,0,0,NA,Inactiva(o),NA,NA,NA,5,5,NA,NA,NA,2,85,2,2,1,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,225,112.5,0,0,0,0,0,17.67,15.08,2.75,0.03,1.25,1.76,13.92,0,0,4.8,8.93,62.28000000000001,0,1.9,1.5,4.6,14.56,6.3,4.94,0,5.73,0,0,0,4.2,0,0,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
00016-1,00016-1-01,1,0,1,6,1,0,0,0,0,4,4,4,4,3,0,0,4,34.5,0,1,0,1,0,1,0,25,25-44,3,universitaria,0,1,40,8,5,5,metropolitana,7,Región Metropolitana de Santiago,0.6704545454545454,1,2,Ocupada(o),2,3,1,5,4,4,2,NA,2,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,450,2950,0,0,4400,1100,0,2950,4400,1100,0,40,0,0,0,5.35,1.01,0.41,0,1.04,0,0.99,0,0,2.31,4.62,47.5,0,14.4,7.54,0.07,24.25,0,18.51,0,0,0,0,0,0,0,0,167.99999999999997,73.75,1435.6024943075058,206.9,27.59,221.43,111.95,104.98,215.52,124.24,148.84,117.19,235.77,1514.3975056924942
00017-1,00017-1-01,1,0,3,6,1,0,0,0,0,2,3,3,3,0,1,0,3,60.333333333333336,1,0,0,0,0,0,0,76,66+,1,primaria,0,1,40,7,6,3,metropolitana,7,Región Metropolitana de Santiago,0.5774647887323944,0,2,Ocupada(o),1,3,3,4,4,85,2,NA,2,85,2,2,3,85,NA,NA,NA,NA,NA,NA,NA,NA,100,100,53.75,107.5,266.25,88.75,62.07746478873239,215.83,373.75,109.4424882629108,645000,40,0,0,0,1.2,0.35,2.89,0.01,0.07,0.46,1.67,0,0.31,12.53,6.2,36.97,0,3.31,1.94,0.1,32.06,18.06,0.34,9.27,0.26,0,0,0,0,0,0,168,2.5,33.57618072568492,66.79,4.16,32.83,9.58,15.99,19.1,14.21,9.85,0.65,9.09,182.2538192743151
00018-1,00018-1-02,0,0,2,7,3,0,0,0,1,4,3,4,2,0,1,0,4,40.25,0,0,0,0,0,0,0,15,12-24,1,primaria,1,0,0,0,0,2,centro,11,Biobío,0.018475750577367205,0,NA,Inactiva(o),NA,NA,NA,4,4,85,NA,2,2,85,2,2,2,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,0,0,0.14780600461893764,4.15,224.5,54.16195150115473,16000,0,0,0,0,0.05,0.21,0.09,0,0,0,0.45,0,0,12.01,18.25,60.51999999999999,0,1.44,38.88,0.28,13.2,0.68,21.94,0,0,0,0,0,0,0,0,168.00000000000003,NA,-0.23301884927028021,1.65,0.13,0.72,0.19,0.3,0.55,0.42,0.2,0.06,0.16,4.383018849270281
00018-1,00018-1-03,0,0,2,7,2,0,0,0,1,4,3,4,2,0,1,0,4,40.25,1,1,1,0,0,0,1,54,45-65,1,primaria,0,0,0,0,0,2,centro,11,Biobío,0,0,NA,Inactiva(o),NA,NA,NA,2,2,85,NA,NA,1,85,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,224.5,54.125,0,0,0.12,0,0,17.44,12.57,4.37,0,0,0.32,0.22,0,0.03,4.47,10.36,61.22,0,13.53,0,0,28.17,1.12,13.85,0,0.21,0,0,0,0,0.12,0.12,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
00020-1,00020-1-02,1,0,4,7,3,0,1,1,1,2,3,2,2,2,1,0,4,40.25,0,1,1,1,0,1,1,41,25-44,2,universitaria,0,1,40,8,5,4,sur,14,Los Lagos,0.5442176870748299,0,2,Ocupada(o),1,3,1,4,4,4,2,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,3,2,1,200,200,0,0,0,0,87.0748299319728,287.07,527.5,113.6437074829932,0,40,5.4,0.07,0,2.91,4.36,0.79,0,1.62,2.24,0.69,0,0,11.56,9.26,48.38999999999999,0,22.83,0.34,0,1.48,0.07,9.57,1.55,4.87,0,8.98,8.98,0,0,0,168.00000000000003,5,19.65414098573998,40.99,6.31,63.43,24.14,19.88,39.31,32.14,18.15,8.04,15.03,267.41585901426004
00022-1,00022-1-01,1,1,4,6,1,0,2,2,2,2,3,4,2,1,1,0,5,36.2,1,1,1,0,0,0,1,44,25-44,2,técnica,0,1,40,8,5,4,sur,16,Magallanes y la Antártica Chilena,0.375,0,2,Ocupada(o),1,4,3,5,5,5,2,NA,1,2,2,2,2,2,NA,NA,NA,NA,NA,1,1,1,150,150,0,250,400,80,93.75,243.75,650,98.75,1000000,40,0.55,0.32,0,11.17,3.14,0.45,0.22,0.09,0.13,2.26,8.97,0.15,5.01,10.61,52.91999999999999,0,10.09,0.22,0.36,3.51,0,13.87,3.85,0.11,0,0.87,0.87,0,0,0,168,3.75,44.17502769454349,45,6.55,42.02,15.02,15.71,30.18,20.43,12.43,5.18,7.06,199.57497230545653
00022-1,00022-1-03,0,0,4,6,3,0,2,2,2,2,3,4,2,1,1,0,5,36.2,0,0,0,0,0,0,1,13,12-24,2,primaria,1,0,0,0,0,4,sur,16,Magallanes y la Antártica Chilena,0,0,NA,Menor de 15 años,NA,NA,NA,4,4,4,NA,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,650,80,0,0,0.04,0.15,0,0.09,0.7,0,0,0,0.01,6.35,0,0,6.93,5.92,57.05,40.42,11.72,0.48,0.31,13.07,0,21.24,3.51,0.01,0,0.19,0.19,0,0,0,168,NA,0,0,0,0,0,0,0,0,0,0,0,0
00023-1,00023-1-01,1,0,5,7,1,0,0,0,0,2,2,2,2,2,0,0,2,27.5,0,1,1,1,0,1,0,28,25-44,3,universitaria,0,1,40,8,5,5,centro,11,Biobío,0.8860759493670886,0,2,Ocupada(o),1,3,1,4,4,NA,1,NA,2,85,2,2,1,85,NA,NA,NA,NA,NA,NA,NA,NA,1750,1750,0,0,1975,987.5,0,1750,1975,987.5,0,40,0,0,0,9.38,0.35,0.33,0.48,0,1.12,1.28,0,1.81,7.34,3.89,50.57,0,4.63,5.66,0.52,16.02,0,21.62,2.84,0.16,0,0,0,0,0,0,167.99999999999997,43.75,669.4142081700529,84.19,27.41,156.63,88.79,67.57,176.36,92.92,134,112.49,140.23,1080.585791829947
00023-1,00023-1-02,1,0,5,7,2,0,0,0,0,2,2,2,2,2,0,0,2,27.5,0,1,1,1,0,1,1,27,25-44,3,universitaria,0,1,44,8,5,5,centro,11,Biobío,0.11392405063291139,0,3,Ocupada(o),1,2,1,5,4,NA,2,NA,1,85,2,2,2,85,NA,NA,NA,NA,NA,NA,NA,NA,225,225,0,0,0,0,0,225,1975,987.5,0,44,0,0,0,6.81,0.81,0.08,0,0,0,2.2,0,4.53,4.43,6.4,48.55999999999999,0,9.2,7.26,2.38,15.08,0,13.79,2.47,0,0,0,0,0,0,0,167.99999999999997,5.113636363636363,86.06754105043538,10.82,3.52,20.14,11.42,8.69,22.67,11.95,17.23,14.46,18.03,138.93245894956462
00024-1,00024-1-02,1,1,4,7,2,0,0,0,0,4,4,4,3,4,0,0,4,41.25,1,1,1,1,0,1,1,56,45-65,2,universitaria,0,1,40,8,5,5,centro,9,Maule,0.19047619047619047,0,2,Ocupada(o),1,4,1,4,3,4,1,NA,2,2,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,400,400,0,0,0,0,20,420,2205,530,0,40,0,0,0,4.92,0.98,0.17,0,0.02,0.35,1.28,0,0.03,16.36,10.88,57.68,0.1,4.53,2.54,5.44,8.46,1.4,5.64,7.22,0,0,0,0,0,0,0,168,10,169.96627206905896,37.87,5.13,32.24,21.39,20.16,42.68,24.56,23.45,14.74,27.81,250.03372793094104
00024-1,00024-1-03,1,0,4,7,3,0,0,0,0,4,4,4,3,4,0,0,4,41.25,0,0,0,1,0,1,1,28,25-44,2,técnica,0,1,20,4,5,5,centro,9,Maule,0.09523809523809523,1,1,Ocupada(o),1,3,2,5,4,4,2,NA,2,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,200,200,0,0,0,0,10,210,2205,527.5,0,20,0,0,0.01,11.97,3.38,0.35,0.35,2.96,0.02,14.64,2.92,0.26,8.16,9.44,57.00999999999999,0,11.29,9.35,1.34,7.67,2.29,4.53,0.01,0.05,0,0,0,0,0.01,0.01,168,10,84.98313603452948,18.94,2.56,16.12,10.7,10.08,21.34,12.28,11.73,7.37,13.91,125.01686396547052
00024-1,00024-1-04,0,0,4,7,3,0,0,0,0,4,4,4,3,4,0,0,4,41.25,0,0,0,1,0,1,1,23,12-24,2,técnica,1,0,0,0,0,5,centro,9,Maule,0,0,NA,Inactiva(o),NA,NA,NA,4,4,4,NA,1,2,2,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,2205,525,0,0,0,0,0,0.69,0.58,0.2,0,0.02,0.06,11.77,0.16,0,9.6,17.27,57.63000000000001,10.47,15.24,0,5.12,10.19,6.25,22.65,0,0.1,0,0,0,0,0,0,168,NA,0,0,0,0,0,0,0,0,0,0,0,0
00027-1,00027-1-01,1,1,5,6,1,0,0,0,0,3,3,1,2,0,0,0,3,36.666666666666664,1,1,1,0,0,0,0,43,25-44,2,secundaria,0,1,48,8,6,4,norte,2,Tarapacá,0.7058823529411765,0,4,Ocupada(o),2,2,6,4,4,4,2,NA,85,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,150,300,0,0,425,141.66666666666666,0,300,425,141.66666666666666,0,48,0,0,0,0.01,0.13,0.08,12.63,0,0,1.05,0,0,4.96,12.33,57.39,0,5.87,0.55,4.14,7.78,0,7.01,6.07,0,0,0,0,0,0,0,168,6.25,18.33688363051637,73.05,8.04,43.23,12.84,18.84,46.76,24.5,23.06,8.85,22.49,281.66311636948365
00029-1,00029-1-04,0,0,3,6,3,0,2,2,2,3,3,3,2,0,0,0,5,24.4,0,0,0,0,0,0,1,12,12-24,1,primaria,1,0,0,0,0,3,norte,3,Antofagasta,0,0,NA,Menor de 15 años,NA,NA,NA,4,4,4,NA,1,3,2,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,295,59,0,0,0,0,0,11.9,6.84,1.52,0,0,1.69,0.51,0,0,3.81,19.25,55.09999999999999,0,33.45,1.86,6.08,1.52,7.59,15.19,0,1.69,0,0,0,0,0,0,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
00030-1,00030-1-01,0,0,3,7,1,0,0,0,0,4,5,4,1,1,1,0,5,39.4,1,0,0,1,0,1,0,82,66+,2,secundaria,0,0,0,0,0,4,norte,5,Coquimbo,0.23012552301255232,0,NA,Inactiva(o),NA,NA,NA,4,4,85,NA,NA,2,85,2,2,2,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,68.75,247.5,298.75,59.75,56.95606694560669,125.71,546.25,71.14121338912133,1265000,0,0,0,0.02,24.19,0.39,0.37,0.18,0.02,1.69,2.9,0,0.3,10.63,22.69,65.86999999999999,0,3.68,0.11,0.38,31.25,0.1,0.15,0.1,2.98,0,0,0,0.02,0,0,167.99999999999997,NA,14.797747739381688,35.43,2.17,15.46,5.76,8.15,13.99,10.2,6.03,5.65,8.07,110.9122522606183
00030-1,00030-1-03,0,0,3,7,8,0,0,0,0,4,5,4,1,1,1,0,5,39.4,0,0,0,1,0,1,1,25,25-44,2,secundaria,1,0,0,0,0,4,norte,5,Coquimbo,0,0,NA,Inactiva(o),NA,NA,NA,3,3,85,NA,1,2,85,2,2,1,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,546.25,59.75,0,0,0,0,0,0.49,0.35,0.57,0,0,0,14.83,0,0,15.36,19.85,48.23999999999999,18.56,10.05,3.44,3.44,9,1.05,22.77,0,0,0,0,0,0,0,0,167.99999999999997,NA,0,0,0,0,0,0,0,0,0,0,0,0
00030-1,00030-1-05,0,0,3,7,8,0,0,0,0,4,5,4,1,1,1,0,5,39.4,0,0,0,1,0,1,1,18,12-24,2,secundaria,1,0,0,0,0,4,norte,5,Coquimbo,0,0,NA,Inactiva(o),NA,NA,NA,3,4,85,NA,2,2,85,2,1,1,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,546.25,59.75,0,0,0,0,0.04,0.09,1.1,0.86,0,0,0,1.58,0,0,18.17,17.64,58.34999999999999,3.17,9.88,3.91,3.79,7.58,3.56,38.28,0,0,0,0,0,0,0.04,0,168,NA,0,0,0,0,0,0,0,0,0,0,0,0
00031-1,00031-1-01,0,0,5,7,1,0,0,0,0,0,1,1,0,0,1,0,1,73,0,0,0,0,0,0,1,73,66+,2,primaria,0,0,0,0,0,1,metropolitana,7,Región Metropolitana de Santiago,1,0,NA,Inactiva(o),NA,NA,NA,4,NA,NA,NA,NA,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,51.5,103,51.5,51.5,103,154.5,154.5,154.5,618000,0,0,0,0,11.64,9.86,1.33,0,0,0.27,17.84,0,0,9.63,12.1,40.66999999999999,0,0.68,0,0.11,63.27,0,0.03,0,0.57,0,0,0,0,0,0,168,NA,38.697876356873074,41.34,2.4,30.8,7.21,12.07,6.4,8.32,3.76,0.18,3.34,115.80212364312692
00032-1,00032-1-01,0,0,1,7,1,0,0,0,0,4,4,4,1,1,1,0,4,43.25,1,1,1,0,0,0,0,65,45-65,2,primaria,0,0,0,0,0,1,centro,10,Ñuble,0,0,NA,Inactiva(o),NA,NA,NA,2,4,4,NA,NA,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,100,25,0,0,100,25,0,0,0,0,0,0.05,1.34,0,75,0.96,0.64,2.12,0,0,12.44,10.43,58.16,0,1.45,0,2.73,1.29,0,0.11,0,1.28,0,0,0,0,0,0,167.99999999999997,NA,-0,0,0,0,0,0,0,0,0,0,0,0
