"","folio","id_hogar","g.alimentos","g.vestimenta","g.cuentas","g.hogar","g.salud","g.transporte","g.comunicaciones","g.recreacion","g.educacion","g.restaurantes","total_expenses","savings","n_personas","macrozona","quintil","n_menores_0_5","n_menores_6_11","n_menores_12_17","n_trabajadores","edad_promedio","n_profesionales","income_person_week","ingreso_hogar","n_personas_cut","n_menores_0_5_cut","n_menores_6_11_cut","n_menores_12_17_cut","n_trabajadores_cut","n_profesionales_cut"
"127","1011-1",127,163.436391666667,19.3396155660377,31.8000537735849,51.4063066666667,211.643068962264,228.235333226714,48.9837305392204,106.47318200173,0.380845,14.5342566666667,876.232784069551,-585.494354069551,3,"norte",3,0,1,0,1,22.3333333333333,0,96.91281,290.73843,3,1,1,0,1,0
"128","10110-1",128,92.5697357142857,8.86908747252747,167.350255,15.7347297908445,31.4320263186813,27.2877528571429,33.7616415336045,11.7747944288415,0,0.041005,388.821028115928,-6.88275811592788,7,"metropolitana",3,1,0,1,2,24.5,0,63.6563783333333,381.93827,7,0,0,1,2,0
"129","10111-1",129,31.7436857142857,8.55726923076923,81.8290677472527,3.24977308602999,28.7683837912088,57.459323052638,9.11255,7.21907142857143,0,0,227.939124050756,29.5407109492441,2,"metropolitana",2,0,0,0,1,73.5,0,128.7399175,257.479835,2,0,0,0,1,0
"130","10112-1",130,109.697857142857,6.38911,148.33898,29.5076602209945,0.486263736263736,0.0740477955120052,22.125,36.271229859191,0,0,352.890148754818,-50.4691287548183,6,"metropolitana",3,0,2,0,4,23.5,0,50.4035033333333,302.42102,6,2,3,0,3,0
"131","10113-1",131,65.5572178571428,0.053985,70.34806,6.96648983516484,6.95357142857143,79.0748198500395,11.478462967033,7.88794976929902,0,43.6501469534333,291.970703660684,90.4587413393161,2,"metropolitana",3,0,0,0,2,29,0,191.2147225,382.429445,2,0,0,0,2,0
"132","10113-2",132,20.7902514285714,1.80363,77.673795,3.798715,43.955093470696,363.250130380973,14.72935,30.7251567485822,0,18.3740032872928,575.100125316115,-32.6612053161152,3,"metropolitana",4,1,0,0,2,20.3333333333333,0,180.812973333333,542.43892,3,0,0,0,2,0
"133","10114-1",133,58.1571428571429,0,31.02633,1.26428571428571,82.4666826923077,67.1043956043956,19.647,8.29488551685892,45.47425,0,313.434972384991,109.477027615009,3,"metropolitana",4,0,0,0,2,58.3333333333333,0,140.970666666667,422.912,3,0,0,0,2,0
"134","10115-1",134,181.551428571429,0,12.744,0,0,0,0,0,0,0,194.295428571429,-45.3773635714285,3,"metropolitana",1,0,0,0,0,61.6666666666667,0,49.639355,148.918065,3,0,0,0,0,0
"135","10116-1",135,40.5203571428571,15.0741758241758,50.445,0,0.939434523809524,53.1,27.0515,4.98646850044365,36.873525,41.2157142857143,270.206175277,821.293824723,4,"metropolitana",5,0,1,0,1,32.25,0,272.875,1091.5,4,1,1,0,1,0
"136","10117-1",136,11.9475,0,20.65,0,0,0,9.735,3.98917480035492,0,0,46.3216748003549,360.778325199645,1,"metropolitana",4,0,0,0,1,50,0,407.1,407.1,1,0,0,0,1,0
"137","10118-1",137,41.5760357142857,0,40.3448321428571,13.6686049723757,0.486263736263736,7.58571428571429,35.0235082872928,2.80056910120447,0,0,141.485528239994,-64.7117782399939,2,"metropolitana",1,0,1,0,1,24.5,0,38.386875,76.77375,2,1,1,0,1,0
"138","10119-1",138,114.240225,16.1580576923077,77.2520714285714,42.4529214680347,19.3459703296703,21.1308011049724,2.3305,4.10260714285714,0,6.6375,303.650654166414,286.349345833586,2,"metropolitana",4,0,0,0,0,71,0,295,590,2,0,0,0,0,0
"139","1012-1",139,14.2540066666667,0,15.2885716666667,0.609666666666667,0,0,2.94705,0.177,0,0,33.276295,95.851105,2,"norte",1,0,0,0,0,75,0,64.5637,129.1274,2,0,0,0,0,0
"140","10120-1",140,150.949392857143,7.57710741758242,22.124115,30.2838338595107,22.6171831868132,25.2857142857143,3.14450549450549,7.39511562857143,0,37.2964285714286,306.673396301269,248.796263698731,5,"metropolitana",4,0,0,0,0,63.4,0,111.093932,555.46966,5,0,0,0,0,0
"141","10121-1",141,57.9618107142857,19.9368131868132,184.375,13.4767994505494,35.4336861904762,20.65,40.7621546961326,36.0043029796601,0,39.60375,448.204317217917,90.0603527820828,4,"metropolitana",4,1,1,0,2,18.5,0,134.5661675,538.26467,4,1,1,0,2,0
"142","10123-1",142,109.489123571429,91.2145608241758,182.952425714286,14.6043121428571,69.8978705494505,71.0616228571429,44.8514596153846,51.4448404645355,19.61455,10.6444428571429,665.775208596404,-43.6458735964036,4,"metropolitana",4,1,1,0,2,22.75,0,155.53233375,622.129335,4,1,1,0,2,0
"143","10124-1",143,0.049265,0,70.8,0,6.17554945054945,6.95357142857143,11.8,1.63909375,0,0,97.4174796291209,126.065375370879,2,"metropolitana",2,0,0,0,0,45,0,111.7414275,223.482855,2,0,0,0,0,0
"144","10125-1",144,114.664392857143,2.13956043956044,29.3210549450549,0,3.9813923992674,24.2973362273086,34.4246582872928,3.46069229569557,0,1.89642857142857,214.185516022751,-49.3542660227512,4,"metropolitana",1,1,0,0,1,41.25,0,41.2078125,164.83125,4,0,0,0,1,0
"145","10126-1",145,310.131814285714,79.7472527472527,136.270549450549,60.6248205257726,13.1777472527473,21.1135714285714,62.800773480663,5.04550494505495,0,50.0341071428571,738.946141259183,-489.404461259183,2,"metropolitana",2,0,0,0,2,42,0,124.77084,249.54168,2,0,0,0,2,0
"146","10127-1",146,54.3156107142857,9.72527472527472,99.71,3.40384615384615,8.34428571428571,24.0214285714286,13.865,14.21855125006,0,10.4303571428571,238.034354272038,145.185690727962,3,"metropolitana",3,0,0,1,2,31.6666666666667,0,127.740015,383.220045,3,0,0,1,2,0
"147","10128-1",147,54.1351971428571,6.96293362637363,214.832275,18.8875931470463,76.1750945054945,17.5226628571429,30.993585,24.2027291038451,0,9.24032714285714,452.952397525617,46.5817224743833,6,"metropolitana",4,1,1,0,3,34.3333333333333,0,83.2556866666667,499.53412,6,1,1,0,3,0
"148","10129-1",148,203.906528571429,8.75274725274725,40.6707876923077,45.637761778277,131.568968028353,111.565271978022,39.7094993956044,40.3713020177531,0,31.032525,653.215391714493,83.6341332855073,4,"metropolitana",5,0,0,0,2,44.75,0,184.21238125,736.849525,4,0,0,0,2,0
"149","1013-1",149,107.639285333333,3.96599669811321,22.63535,14.6027545685279,16.8862916666667,102.719188501261,33.9665833876065,44.0332954119497,0,20.63997,367.088715567458,-5.48302556745844,4,"norte",3,0,1,0,1,33.75,0,90.4014225,361.60569,4,1,1,0,1,0
"150","10130-1",150,325.856367857143,9.03575274725275,53.6574041208791,39.6568011049724,43.4375926923077,27.1821428571428,46.394861878453,210.327381868132,6.634845,38.6763964285714,800.859546554854,-315.289546554854,4,"metropolitana",4,0,0,0,1,47.5,0,121.3925,485.57,4,0,0,0,1,0
"151","10131-1",151,86.6162142857143,0,112.749972527473,2.27571428571429,4.81401098901099,5.68928571428571,14.455,24.9886071428571,2.630515,12.5929178571429,266.812237802198,-213.712237802198,4,"metropolitana",1,1,1,0,2,16.25,0,13.275,53.1,4,1,1,0,2,0
"152","10132-1",152,253.174099285714,1.657605,63.4547982417582,5.56913642857143,35.4951585714286,31.7500944554065,11.878765,3.32865357142857,0,11.8088516298343,418.117162184142,-76.8475921841418,5,"metropolitana",3,0,0,1,1,42.6,0,68.253914,341.26957,5,0,0,1,1,0
"153","10133-1",153,99.8785714285714,10.6978021978022,17.77375,2.52857142857143,5.3489010989011,0,16.22205,0.0885,0,0,152.538146153846,-100.323146153846,2,"metropolitana",1,0,0,0,0,45.5,0,26.1075,52.215,2,0,0,0,0,0
"154","10134-1",154,69.5357142857143,0,92.168325,9.47241758241758,24.6939021428571,6.32142857142857,2.95,2.8261,0,0,207.967887582418,-88.4920025824176,1,"metropolitana",1,0,0,0,1,65,0,119.475885,119.475885,1,0,0,0,1,0
"155","10135-1",155,169.350987142857,36.8824981868132,223.908423296703,30.0245866022099,60.1167857142857,418.630901648352,60.0764517582418,36.6900493639273,0,113.796713571429,1149.47739728482,-663.973477284819,4,"metropolitana",4,0,0,0,4,33.75,0,121.37598,485.50392,4,0,0,0,3,0
"156","10136-1",156,31.6197857142857,8.55824175824176,20.2066636263736,0,16.1828571428571,11.421179952644,15.7662912087912,0.295,0,0,104.050019403193,8.04998059680651,2,"metropolitana",1,0,0,0,0,47.5,0,56.05,112.1,2,0,0,0,0,0
"157","10137-1",157,1.25796428571429,0,24.629845,0,0.583516483516484,0,2.655,3.09458241758242,0,0,32.2209081868132,32.6790918131868,1,"metropolitana",1,0,0,0,0,70,0,64.9,64.9,1,0,0,0,0,0
"158","10138-1",158,43.76325,3.89010989010989,22.93625,0,11.9475,3.54,15.1866,0.2655,2.211615,1.26428571428571,105.005110604396,-9.4472356043956,2,"metropolitana",1,0,0,0,1,49,0,47.7789375,95.557875,2,0,0,0,1,0
"159","10139-1",159,80.7379178571429,22.447918021978,36.3566428571429,15.6283940489345,60.415248992674,172.303632596685,13.157,78.6038837173755,15.732645,45.0928769337017,540.476160025634,-24.1524100256345,3,"metropolitana",4,0,0,1,1,30.3333333333333,0,172.107916666667,516.32375,3,0,0,1,1,0
"160","1014-1",160,30.871691,3.79603773584906,23.87317,1.15111968553459,36.0521206918239,0,9.735,0.354,0,2.1948,108.027939113208,-15.2504391132076,2,"norte",1,0,0,0,1,70,0,154.285,92.7775,2,0,0,0,1,0
"161","10140-1",161,134.161406428571,3.5105,63.5617049450549,88.4573267482241,155.563063186813,18.5732,18.931625,7.20449,0,7.21275,497.176066308664,-195.391066308664,1,"metropolitana",3,0,0,0,0,82,0,301.785,301.785,1,0,0,0,0,0
"162","10141-1",162,44.5218214285714,11.7055708241758,21.282185,1.89642857142857,18.6712793956044,9.21934,13.26615,10.8281986813187,67.82699,0,199.217963901099,-64.1079639010989,3,"metropolitana",1,0,0,1,0,32.6666666666667,0,45.0366666666667,135.11,3,0,0,1,0,0
"163","10142-1",163,77.2307892857143,13.4695054945055,28.1838461538462,8.33796428571429,27.8334120879121,16.2900769534333,9.14205,3.54,0,14.6685082872928,198.696152548418,-120.771902548418,2,"metropolitana",1,0,0,0,0,41,0,38.962125,77.92425,2,0,0,0,0,0
"164","10143-1",164,96.2278621428571,18.7958374725275,69.9763891758242,7.00035,1.89642857142857,31.9406767955801,26.9217319340052,13.194297716781,8.186545,53.7932248539858,327.93334366299,-5.79334366298949,4,"metropolitana",3,0,1,1,2,26.5,0,80.535,322.14,4,1,1,1,2,0
"165","10144-1",165,68.8782857142857,5.88076989010989,9.35830769230769,12.2237569060773,10.5032967032967,1.01142857142857,3.54,1.95993681011535,3.835,0,117.190782287621,-21.6992822876213,2,"metropolitana",1,0,0,1,1,30,0,47.74575,95.4915,2,0,0,1,1,0
"166","10145-1",166,45.7671428571429,0.729395604395604,9.11235549450549,11.7364615384615,0,11.9134615384615,25.069395,7.29395604395604,0,0,111.622168076923,7.28436692307693,1,"metropolitana",1,0,0,0,0,72,0,118.906535,118.906535,1,0,0,0,0,0
"167","10146-1",167,113.975357142857,0.583516483516484,35.2887947252747,3.66642857142857,60.4912087912088,0,11.79705,8.85869522180876,0,0,234.661050936094,-67.5435509360945,2,"metropolitana",1,0,0,0,2,68.5,0,83.55875,167.1175,2,0,0,0,2,0
"168","10147-1",168,58.5590592857143,21.7291975274725,37.96355,6.60490797158642,15.3025868681319,29.190471890292,80.8717603296703,38.973024366028,0,103.839729680347,393.034287919243,-212.185422919243,1,"metropolitana",2,0,0,0,1,23,0,180.848865,180.848865,1,0,0,0,1,0
"169","10148-1",169,156.734975,2.31434956043956,83.2849413736264,15.2543754395604,102.527509340659,1.41739071428571,17.96963,0.04484,0,0.05959,379.607601428571,-96.0571414285715,2,"metropolitana",3,0,0,0,0,69,0,141.77523,283.55046,2,0,0,0,0,0
"170","10149-1",170,77.5273485714286,0.056935,23.80001,1.91505571428571,1.2685,0.300605,2.19598,1.81998142857143,0,0.11682,109.001235714286,2.87839928571429,1,"metropolitana",1,0,0,0,0,75,0,111.879635,111.879635,1,0,0,0,0,0
