id_hog,id_persona,es_trabajador,es_familia,dia_semana,dia_fin_semana,parentesco,n_menores_0_4,n_menores_5_14,n_nna,n_menores_18,n_personas_15_65,n_mayores,n_tiempo,n_trabajadores,n_profesionales,n_tercera_edad,hay_tercera_edad,n_personas,edad_promedio,tiene_hijos,en_pareja,vive_pareja,servicio_domestico,ayuda_cercanos,fuentes_externas,sexo,edad_anios,tramo_edad,NSE,nivel_escolaridad,estudia,trabaja,horas_trabajo_contratadas,horas_trabajo_habituales,dias_trabajo_semana,quintil,macrozona,region_ord,glosa_region,prop_ing_hogar,teletrabaja,jornada_laboral,cae,ocup_form,cise,ciuo_agrupada,bs1,bs2,bs3,bs4,bs5,bs6,bs7,bs8,bs9,bs10,bs11,bs12,bs13,bs14,bs15,bs16,bs17,bs18,bs19,ing_ocuppal,ing_trab,ing_jub_aps,ing_g,ing_t_hogar,ing_t_pc,ing_gpp,ing_personal,ingreso_hogar,income_person_week,I,t_paid_work,t_domestic_work,t_care_work,t_unpaid_voluntary,t_education,t_leisure,t_personal_care,t_meals,t_sleep,t_commute1,t_commute2,Tw,Tf_social,Tf_hobbies,Tf_read,Tf_listen,Tf_watch,Tf_computer,Tc_meals,Tc_sleep,Tc_other,t_tcnr_0_4,t_tcnr_5_14,t_tcnr_nna,t_tcnr_15_65,t_tcnr_66,t_tcnr_psdf,t_total,temp,w,savings,total_expenses,Ef_food,Ef_recreation,Ef_restaurants,Ef_communications,Ef_clothing,Ec_cuentas,Ec_hogar,Ec_salud,Ec_transporte,Ec_educacion
00008-1,00008-1-01,1,0,2,7,1,0,0,0,0,2,2,2,1,1,0,0,2,53.5,0,1,1,0,0,0,0,56,45-65,1,técnica,0,1,45,9,5,3,centro,11,Biobío,1,0,3,Ocupada(o),1,2,1,4,4,NA,2,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,300,300,0,0,300,150,0,300,300,150,0,45,6.73,0,0,0,38.47,5.85,15.4,50.91,4.69,0.95,45,14.42,0,0.57,0.51,15.69,7.28,15.4,50.91,18.22,0,0,0,0,0,0,168,168,6.666666666666667,21.039966093171703,278.9600339068283,71.2,18.8,13.78,28.63,7.65,51.83,19.9,27,36.64,3.55
00008-1,00008-1-02,0,0,2,7,2,0,0,0,0,2,2,2,1,1,0,0,2,53.5,0,1,1,0,0,0,1,51,45-65,1,secundaria,0,0,0,0,0,3,centro,11,Biobío,0,0,NA,Inactiva(o),NA,NA,NA,4,4,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,300,150,0,0,31.59,0,5,0,49,9.25,11.99,57.42,0,3.75,0,20.48,0.21,2.87,5.06,10.88,9.51,11.99,57.42,49.58,0,0,0,0,0,0,168,168,NA,0,0,0,0,0,0,0,0,0,0,0,0
00009-1,00009-1-01,0,0,1,7,1,0,1,1,1,4,4,3,0,1,0,0,5,35.8,1,0,0,0,0,0,1,33,25-44,1,secundaria,0,0,0,0,0,1,centro,8,Libertador General Bernardo O´Higgins,0,0,NA,Inactiva(o),NA,NA,NA,1,4,4,NA,NA,1,1,2,1,1,3,5,5,3,3,3,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,37.31,39.51,0,0,31.26,1.53,6.18,48.03999999999999,0,4.17,0,15.12,3.88,0,0.34,3.18,8.73,6.18,48.03999999999999,82.53,0,2.36,2.36,37.15,0,37.15,168,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
00011-1,00011-1-01,1,0,2,6,1,0,0,0,0,2,2,2,2,1,0,0,2,39.5,1,0,0,0,0,0,0,56,45-65,3,universitaria,0,1,40,8,5,5,metropolitana,7,Región Metropolitana de Santiago,0.7647058823529411,1,2,Ocupada(o),1,3,1,5,5,NA,3,NA,2,85,2,2,1,85,NA,NA,NA,NA,NA,NA,NA,NA,650,650,0,0,850,425,0,650,850,425,0,40,7.13,0,0,4.52,32.86,6.34,12.28,61.7,0,3.17,40,16.37,8.6,1.54,3.88,1.67,0.82,12.28,61.7,21.16,0,0,0,0,0,0,168,168,16.25,94.38279753948196,555.617202460518,76.25,68.63,65.5,39.29,14.99,91.84,41.44,51.54,82.29,23.84
00011-1,00011-1-02,1,0,2,6,3,0,0,0,0,2,2,2,2,1,0,0,2,39.5,0,0,0,0,0,0,0,23,12-24,3,primaria,0,1,50,10,5,5,metropolitana,7,Región Metropolitana de Santiago,0.23529411764705882,0,4,Ocupada(o),1,3,2,3,2,NA,3,NA,1,85,2,2,3,85,NA,NA,NA,NA,NA,NA,NA,NA,150,200,0,0,0,0,0,200,850,425,0,50,25.15,0,0,0,38.81,8.74,8.35,35.23999999999999,1.52,0.19,50,20.65,3.7,0.19,0.66,3.44,10.18,8.35,35.23999999999999,35.61,0,0,0,0,0,0,168,168,4,29.040860781379067,170.95913921862092,23.46,21.12,20.15,12.09,4.61,28.26,12.75,15.86,25.32,7.34
00013-1,00013-1-01,0,0,4,6,1,0,0,0,0,1,1,1,0,0,0,0,1,53,0,0,0,0,0,0,0,53,45-65,1,primaria,0,0,0,0,0,1,centro,11,Biobío,0,0,NA,Inactiva(o),NA,NA,NA,3,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,10.14,0,0,0,60.84,5.9,11.51,79.61,0,0,0,2.4,0,1.2,1.8,34.22,21.21,11.51,79.61,16.04,0,0,0,0,0,0,168,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
00014-1,00014-1-01,1,1,4,6,1,0,2,2,2,2,2,2,1,0,0,0,4,19.5,1,1,1,0,0,0,0,37,25-44,2,secundaria,0,1,65,10,6,2,centro,11,Biobío,1,1,4,Ocupada(o),2,2,5,3,3,4,1,NA,85,1,1,1,2,2,NA,NA,NA,NA,NA,4,3,1,250,250,0,0,250,62.5,0,250,250,62.5,0,65,12.53,0.09,0,0,32.05,2.22,6.83,39.670000000000016,7.04,2.57,65,7.11,0,0.04,0.09,13.07,11.74,6.83,39.670000000000016,24.43,0,0.09,0.09,0,0,0,168,168,3.8461538461538463,-40.30601186394151,290.30601186394154,81.97,17.13,10.89,27.8,14.15,56.1,14.99,16.85,39.01,11.41
00015-1,00015-1-02,0,0,4,6,2,0,0,0,0,2,2,1,1,2,0,0,2,46.5,0,1,1,0,0,0,0,47,45-65,2,técnica,0,0,0,0,0,2,sur,16,Magallanes y la Antártica Chilena,0,0,NA,Inactiva(o),NA,NA,NA,5,5,NA,NA,NA,2,85,2,2,1,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,225,112.5,0,0,52.47,0,0,0,33.79,4.8,8.93,62.28000000000001,0,5.73,0,1.9,1.5,4.6,6.3,14.56,4.94,8.93,62.28000000000001,63,0,0,0,4.2,0,0,168,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
00016-1,00016-1-01,1,0,1,6,1,0,0,0,0,4,4,4,4,3,0,0,4,34.5,0,1,0,1,0,1,0,25,25-44,3,universitaria,0,1,40,8,5,5,metropolitana,7,Región Metropolitana de Santiago,0.6704545454545454,1,2,Ocupada(o),2,3,1,5,4,4,2,NA,2,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,450,2950,0,0,4400,1100,0,2950,4400,1100,0,40,8.8,0,0,0,64.77,2.31,4.62,47.5,0,0,40,14.4,7.54,0.07,0,24.25,18.51,4.62,47.5,11.11,0,0,0,0,0,0,167.99999999999997,168,73.75,1435.6024943075058,1514.3975056924942,206.9,148.84,235.77,124.24,27.59,221.43,111.95,104.98,215.52,117.19
00017-1,00017-1-01,1,0,3,6,1,0,0,0,0,2,3,3,3,0,1,0,3,60.333333333333336,1,0,0,0,0,0,0,76,66+,1,primaria,0,1,40,7,6,3,metropolitana,7,Región Metropolitana de Santiago,0.5774647887323944,0,2,Ocupada(o),1,3,3,4,4,85,2,NA,2,85,2,2,3,85,NA,NA,NA,NA,NA,NA,NA,NA,100,100,53.75,107.5,266.25,88.75,62.07746478873239,215.83,373.75,109.4424882629108,645000,40,6.65,0,0.31,0,55.8,12.53,6.2,36.97999999999999,9.27,0.26,40,3.31,1.94,0.1,18.06,32.06,0.34,6.2,36.97999999999999,29.02,0,0,0,0,0,0,168,168,2.5,33.57618072568492,182.2538192743151,66.79,9.85,9.09,14.21,4.16,32.83,9.58,15.99,19.1,0.65
